广播电台,#genre#
运城新闻综合广播,https://live.0359tv.com/lsdream/4TTDb6q/500/live.m3u8
运城新闻综合广播,https://lhttp-hw.qtfm.cn/live/1190/64k.mp3
运城交通文艺广播,https://live.0359tv.com/lsdream/p3e1Pzg/500/live.m3u8
运城交通文艺广播,https://lhttp-hw.qtfm.cn/live/1191/64k.mp3
CNR 中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR 经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR 音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR 经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR 民族之声,https://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR 文艺之声,https://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR 老年之声,https://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR 阅读之声,https://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR 乡村之声,https://ngcdn017.cnr.cn/live/xczs/index.m3u8
